Game ID,Date,Time,Venue,Gender,Level,Home Team,Away Team,Conference
248-HSB24,10/1/2024,3:45 PM,Two Rivers High School,Boys,JV,Two Rivers,Simley,MEC
199-HSB24,10/1/2024,5:00 PM,East Ridge High School,Boys,Varsity,East Ridge,Irondale,SEC
200-HSB24,10/1/2024,5:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,Woodbury,SEC
198-HSG24,10/1/2024,5:00 PM,North St Paul High School,Girls,Varsity,North St Paul,Hill-Murray,MEC
201-HSB24,10/1/2024,5:00 PM,Park High School,Boys,Varsity,Park,Cretin-Derham Hall,SEC
202-HSB24,10/1/2024,5:00 PM,Roseville High School,Boys,Varsity,Roseville,Mounds View,SEC
199-HSG24,10/1/2024,5:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Hastings,MEC
198-HSB24,10/1/2024,5:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,Simley,MEC
203-HSB24,10/1/2024,5:00 PM,White Bear Lake North High School,Boys,Varsity,White Bear Lake,Stillwater,SEC
245-HSG24,10/1/2024,5:15 PM,Two Rivers High School,Girls,JV,Two Rivers,Simley,MEC
193-HSG24,10/1/2024,7:00 PM,East Ridge High School,Girls,Varsity,East Ridge,Irondale,SEC
194-HSG24,10/1/2024,7:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,Woodbury,SEC
195-HSB24,10/1/2024,7:00 PM,North St Paul High School,Boys,Varsity,North St Paul,Hill-Murray,MEC
195-HSG24,10/1/2024,7:00 PM,Park High School,Girls,Varsity,Park,Cretin-Derham Hall,SEC
196-HSG24,10/1/2024,7:00 PM,Roseville High School,Girls,Varsity,Roseville,Mounds View,SEC
197-HSB24,10/1/2024,7:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Hastings,MEC
196-HSB24,10/1/2024,7:00 PM,St Thomas Academy,Boys,Varsity,St Thomas Academy,Tartan,MEC
200-HSG24,10/1/2024,7:00 PM,Two Rivers High School,Girls,Varsity,Two Rivers,Simley,MEC
197-HSG24,10/1/2024,7:00 PM,White Bear Lake North High School,Girls,Varsity,White Bear Lake,Stillwater,SEC
236-HSG24,10/2/2024,3:45 PM,Hastings High School,Girls,C-Squad,Hastings,South St Paul,MEC
236-HSB24,10/2/2024,5:15 PM,Hastings High School,Boys,C-Squad,Hastings,South St Paul,MEC
249-HSB24,10/3/2024,3:45 PM,Two Rivers High School,Boys,JV,Two Rivers,Mahtomedi,MEC
201-HSG24,10/3/2024,5:00 PM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,White Bear Lake,SEC
206-HSG24,10/3/2024,5:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,South St Paul,MEC
202-HSG24,10/3/2024,5:00 PM,Irondale High School,Girls,Varsity,Irondale,Park,SEC
203-HSG24,10/3/2024,5:00 PM,Mounds View High School,Girls,Varsity,Mounds View,East Ridge,SEC
205-HSB24,10/3/2024,5:00 PM,North St Paul High School,Boys,Varsity,North St Paul,Tartan,MEC
206-HSB24,10/3/2024,5:00 PM,Simley High School,Boys,Varsity,Simley,Hastings,MEC
204-HSG24,10/3/2024,5:00 PM,Stillwater High School,Girls,Varsity,Stillwater,Forest Lake,SEC
207-HSB24,10/3/2024,5:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,Mahtomedi,MEC
205-HSG24,10/3/2024,5:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Roseville,SEC
246-HSG24,10/3/2024,5:15 PM,Two Rivers High School,Girls,JV,Two Rivers,Mahtomedi,MEC
208-HSB24,10/3/2024,7:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,White Bear Lake,SEC
204-HSB24,10/3/2024,7:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,South St Paul,MEC
209-HSB24,10/3/2024,7:00 PM,Irondale High School,Boys,Varsity,Irondale,Park,SEC
210-HSB24,10/3/2024,7:00 PM,Mounds View High School,Boys,Varsity,Mounds View,East Ridge,SEC
207-HSG24,10/3/2024,7:00 PM,North St Paul High School,Girls,Varsity,North St Paul,Tartan,MEC
208-HSG24,10/3/2024,7:00 PM,Simley High School,Girls,Varsity,Simley,Hastings,MEC
211-HSB24,10/3/2024,7:00 PM,Stillwater High School,Boys,Varsity,Stillwater,Forest Lake,SEC
209-HSG24,10/3/2024,7:00 PM,Two Rivers High School,Girls,Varsity,Two Rivers,Mahtomedi,MEC
212-HSB24,10/3/2024,7:00 PM,Woodbury High School,Boys,Varsity,Woodbury,Roseville,SEC
237-HSB24,10/4/2024,3:45 PM,Hastings High School,Boys,C-Squad,Hastings,Simley,MEC
237-HSG24,10/4/2024,5:15 PM,Hastings High School,Girls,C-Squad,Hastings,Simley,MEC
210-HSG24,10/5/2024,11:00 AM,East Ridge High School,Girls,Varsity,East Ridge,Mahtomedi,SEC
214-HSB24,10/5/2024,11:00 AM,Woodbury High School,Boys,Varsity,Woodbury,St Paul Central,SEC
212-HSG24,10/5/2024,12:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Duluth East,MEC
211-HSG24,10/5/2024,1:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,Blaine,SEC
250-HSB24,10/5/2024,1:00 PM,Irondale High School,Boys,Varsity,Irondale,St Cloud Apollo,SEC
213-HSB24,10/5/2024,3:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,Wayzata,SEC
